City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Albany,US,78.94,clear sky,42.6001,-73.9662,Shell Qianjiang City Qianjiang bus station Hotel
6,Devgarh,IN,87.66,clear sky,25.5333,73.9,Deogarh Mahal
10,Sale,MA,75.63,scattered clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
18,Ewa Beach,US,75.43,clear sky,21.3156,-158.0072,Base Lodging
19,Faanui,PF,79.93,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
20,Saint-Andre-Les-Vergers,FR,80.64,broken clouds,48.2853,4.0521,Le Royal
21,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
29,Rikitea,PF,75.45,overcast clouds,-23.1203,-134.9692,People ThankYou
30,Kattivakkam,IN,87.89,broken clouds,13.2167,80.3167,Euronova Freezer
32,Nishihara,JP,78.85,mist,26.1842,127.7558,Minshuku Agaihama
33,Hithadhoo,MV,84.36,broken clouds,-0.6,73.0833,Scoop Guest House
37,Victoria,HK,86.05,overcast clouds,22.2855,114.1577,Mini Central
41,Hilo,US,83.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
45,Hamilton,US,80.94,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
48,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
50,Namibe,AO,78.82,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
56,Black River,JM,86.32,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
58,Kotri,PK,84.78,clear sky,25.366,68.3122,Drivers Running Room
59,Pochutla,MX,89.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
60,Butaritari,KI,80.51,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
61,Bengkulu,ID,75.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
62,Bandundu,CD,81.48,broken clouds,-3.3167,17.3667,Coja Color
63,Houma,US,84.99,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
65,Mormugao,IN,83.46,few clouds,15.4,73.8,Coconut Creek Resort
67,Hami,CN,77.58,scattered clouds,42.8,93.45,Laoyutang Resort
69,Mastic Beach,US,75.97,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
70,Tual,ID,83.28,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
74,Kavaratti,IN,83.57,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
78,Jining,CN,80.1,overcast clouds,35.405,116.5814,Yunhe Star Hotel
80,Kuhdasht,IR,85.46,broken clouds,33.535,47.6061,فروشگاه زنبیل
81,Bethel,US,82.29,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
84,Bijela,BA,86.7,overcast clouds,43.6086,17.9519,Garden City Konjic
86,Kavieng,PG,80.73,few clouds,-2.5744,150.7967,Nusa Island Retreat
90,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
92,Saint George,US,84.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
96,Kerman,IR,78.66,few clouds,30.2832,57.0788,هتل آپارتمان آسام
99,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
100,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
104,Chowchilla,US,75.02,few clouds,37.123,-120.2602,Days Inn by Wyndham Chowchilla Gateway to Yosemite
105,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
107,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
108,Manoel Urbano,BR,79.18,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
109,Ningbo,CN,78.78,light rain,29.8782,121.5495,CITIC Ningbo International Hotel
111,Atuona,PF,78.01,few clouds,-9.8,-139.0333,Villa Enata
117,Amstetten,AT,81.79,few clouds,48.1229,14.8721,Hotel Exel
120,Morondava,MG,76.46,clear sky,-20.2833,44.2833,La Case Bambou
122,Touros,BR,82.85,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
124,Chalus,IR,76.46,clear sky,36.655,51.4204,Rama Spa
125,Gat,IL,82.4,clear sky,31.61,34.7642,OlusHome
127,Mayo,US,84.67,clear sky,38.8876,-76.5119,Resorts Resource Group International
131,San Policarpo,PH,80.47,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
134,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
138,Surt,LY,77.31,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
140,Baherden,TM,86.2,clear sky,38.4362,57.4316,Shell Qianjiang City Qianjiang bus station Hotel
141,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
143,Cockburn Town,TC,80.56,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
147,Waw,SS,85.84,overcast clouds,7.7029,27.9953,Universal Gab Hotel
149,Kirakira,SB,80.55,overcast clouds,-10.4544,161.9205,SanBiz Lodge
153,Shieli,KZ,76.55,broken clouds,44.1667,66.75,Gostinitsa Aybek Shieli
157,Wajir,KE,85.96,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
161,Matara,LK,77.74,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
163,Bartica,GY,84.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
169,Kinablangan,PH,77.92,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
173,Grand Baie,MU,75.67,scattered clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
174,Camocim,BR,81.91,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
177,Vinh Yen,VN,84.15,overcast clouds,21.31,105.5967,NGOC HA 3 HOTEL
178,Basco,PH,84.07,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
179,Sao Filipe,CV,78.69,few clouds,14.8961,-24.4956,Hotel Xaguate
189,Auki,SB,77.99,overcast clouds,-8.7676,160.7034,Auki Motel
196,Epe,NG,83.52,broken clouds,6.5841,3.9834,MAGVILLE HOTEL
204,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
210,Moerai,PF,75.94,broken clouds,-22.4333,-151.3333,Le Manotel
211,Canton,CN,84.15,overcast clouds,23.1167,113.25,Shangjiuwan Hotel
212,Virden,US,81.09,clear sky,39.5009,-89.7679,Virden Nail Spa
214,San Patricio,US,89.49,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
216,Baniachang,BD,77.38,overcast clouds,24.5167,91.3667,ভটে বাড়ি বানিয়াচং হবিগঞ্জ
218,Benguela,AO,75.54,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
220,Atmakur,IN,89.24,overcast clouds,15.8833,78.5833,Mee seva atk
227,Omboue,GA,75.99,overcast clouds,-1.5746,9.2618,Hotel Olako
229,Buala,SB,80.51,light rain,-8.145,159.5921,Maringe Lagoon Lodge
232,Dhidhdhoo,MV,82.35,scattered clouds,6.8833,73.1,Dhidhoo beach
235,Avera,US,83.55,broken clouds,33.194,-82.5271,Shell Qianjiang City Qianjiang bus station Hotel
239,Mana,GF,82.94,scattered clouds,5.6592,-53.7767,LE SAMANA
240,Havelock,US,82.98,few clouds,34.8791,-76.9013,Sherwood Motel
244,Demba,CD,77.18,scattered clouds,-5.51,22.2667,Guest House Du Cinquantenaire
245,Banda Aceh,ID,80.98,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
247,Kismayo,SO,78.39,few clouds,-0.3582,42.5454,Agan-Hotel
249,Waingapu,ID,78.31,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
