City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pangnirtung,CA,66.1451,-65.7125,42.8,75,0,6.91,clear sky
1,Sitka,US,57.0531,-135.33,57.09,77,75,8.05,broken clouds
2,Hermanus,ZA,-34.4187,19.2345,59.81,83,100,6.53,overcast clouds
3,Albany,US,42.6001,-73.9662,78.94,48,4,12.57,clear sky
4,Sumbe,AO,-11.2061,13.8437,74.44,76,70,4.07,broken clouds
5,Deputatskiy,RU,69.3,139.9,44.76,80,73,4.61,broken clouds
6,Devgarh,IN,25.5333,73.9,87.66,17,0,12.08,clear sky
7,Shurugwi,ZW,-19.6702,30.0059,54.48,71,99,5.53,overcast clouds
8,Bluff,NZ,-46.6,168.3333,34.81,76,100,7.9,overcast clouds
9,Constantine,DZ,36.365,6.6147,96.21,31,40,13.8,scattered clouds
10,Sale,MA,34.0389,-6.8166,75.63,60,40,12.66,scattered clouds
11,Busselton,AU,-33.65,115.3333,55.47,78,67,6.33,broken clouds
12,Kloulklubed,PW,7.0419,134.2556,73.9,74,8,7.43,clear sky
13,Barrow,US,71.2906,-156.7887,26.62,93,100,25.32,light snow
14,Broken Hill,AU,-31.95,141.4333,51.12,69,100,21.03,overcast clouds
15,Neiafu,TO,-18.65,-173.9833,74.08,94,40,0.0,scattered clouds
16,Aswan,EG,24.0934,32.907,103.3,10,0,6.91,clear sky
17,Sault Sainte Marie,CA,46.5168,-84.3333,64.96,41,0,12.66,clear sky
18,Ewa Beach,US,21.3156,-158.0072,75.43,75,0,5.75,clear sky
19,Faanui,PF,-16.4833,-151.75,79.93,75,12,15.64,few clouds
20,Saint-Andre-Les-Vergers,FR,48.2853,4.0521,80.64,47,75,4.61,broken clouds
21,Cabedelo,BR,-6.9811,-34.8339,79.47,74,89,10.92,overcast clouds
22,Mar Del Plata,AR,-38.0023,-57.5575,54.95,75,20,10.36,few clouds
23,Soldotna,US,60.4878,-151.0583,65.95,59,20,5.75,few clouds
24,Vagur,FO,61.4732,-6.8119,49.33,90,98,14.23,overcast clouds
25,Ushuaia,AR,-54.8,-68.3,37.02,75,40,6.91,scattered clouds
26,Ossora,RU,59.2353,163.0719,46.85,79,58,2.75,broken clouds
27,Jamestown,US,42.097,-79.2353,64.94,30,0,8.05,clear sky
28,Khatanga,RU,71.9667,102.5,27.64,91,100,14.07,light snow
29,Rikitea,PF,-23.1203,-134.9692,75.45,73,100,11.56,overcast clouds
30,Kattivakkam,IN,13.2167,80.3167,87.89,88,80,17.69,broken clouds
31,Mataura,NZ,-46.1927,168.8643,34.48,85,100,3.8,overcast clouds
32,Nishihara,JP,26.1842,127.7558,78.85,97,40,9.22,mist
33,Hithadhoo,MV,-0.6,73.0833,84.36,69,54,8.93,broken clouds
34,Lugovoy,KZ,42.9472,72.7644,63.99,52,58,8.68,broken clouds
35,Saint-Philippe,RE,-21.3585,55.7679,72.99,78,35,15.26,light rain
36,Necochea,AR,-38.5473,-58.7368,52.93,50,99,15.37,overcast clouds
