City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint-Augustin,51.226,-58.6502,39.87,92,100,21.07,CA,2022-05-31 23:19:53
1,Rikitea,-23.1203,-134.9692,76.66,76,57,9.73,PF,2022-05-31 23:19:53
2,New Norfolk,-42.7826,147.0587,49.66,85,97,4.0,AU,2022-05-31 23:19:53
3,Rawson,-43.3002,-65.1023,46.09,64,90,14.97,AR,2022-05-31 23:19:54
4,Cockburn Town,21.4612,-71.1419,80.24,82,86,18.16,TC,2022-05-31 23:19:54
5,Baruun-Urt,46.6806,113.2792,58.5,44,95,8.52,MN,2022-05-31 23:19:54
6,Port Alfred,-33.5906,26.891,56.88,72,11,15.9,ZA,2022-05-31 23:19:54
7,Ushuaia,-54.8,-68.3,38.86,81,20,16.11,AR,2022-05-31 23:17:36
8,Chaihe,44.7667,129.7,53.02,79,90,6.93,CN,2022-05-31 23:19:55
9,Saint George,37.1041,-113.5841,86.63,10,0,12.66,US,2022-05-31 23:17:02
10,Rochelle,46.25,-1.0,57.29,51,0,8.05,FR,2022-05-31 23:19:55
11,East London,-33.0153,27.9116,58.26,58,9,15.32,ZA,2022-05-31 23:16:07
12,Lebu,-37.6167,-73.65,43.29,79,0,7.11,CL,2022-05-31 23:19:55
13,Waitati,-45.75,170.5667,54.81,63,100,5.44,NZ,2022-05-31 23:19:55
14,Aykhal,66.0,111.5,54.0,38,53,9.93,RU,2022-05-31 23:19:56
15,Los Llanos De Aridane,28.6585,-17.9182,65.95,87,0,9.22,ES,2022-05-31 23:19:56
16,Saskylakh,71.9167,114.0833,26.35,91,94,7.05,RU,2022-05-31 23:19:56
17,Golpayegan,33.4537,50.2884,63.23,17,27,7.16,IR,2022-05-31 23:19:56
18,Ponta Do Sol,32.6667,-17.1,67.01,86,68,9.66,PT,2022-05-31 23:19:57
19,Qaanaaq,77.484,-69.3632,24.96,76,8,1.23,GL,2022-05-31 23:19:57
20,Vila Velha,-20.3297,-40.2925,75.15,89,20,9.22,BR,2022-05-31 23:19:57
21,Ostrovnoy,68.0531,39.5131,37.33,86,14,2.08,RU,2022-05-31 23:19:57
22,Caraballeda,10.6112,-66.8522,89.67,62,75,3.44,VE,2022-05-31 23:19:58
23,Samarai,-10.6167,150.6667,80.94,81,90,9.48,PG,2022-05-31 23:19:58
